,lemma,next-lemma,next-next-lemma,next-next-pos,next-next-shape,next-next-word,next-pos,next-shape,next-word,POS,prev-iob,prev-lemma,prev-pos,prev-prev-iob,prev-prev-lemma,prev-prev-pos,prev-prev-shape,prev-prev-word,prev-shape,prev-word,sentence_idx,shape,word,tag
101,southern,english,seasid,NN,lowercase,seaside,JJ,capitalized,English,JJ,O,the,DT,O,in,IN,lowercase,in,lowercase,the,5,lowercase,southern,O
102,english,seasid,resort,NN,lowercase,resort,NN,lowercase,seaside,JJ,O,southern,JJ,O,the,DT,lowercase,the,lowercase,southern,5,capitalized,English,B-gpe
103,seasid,resort,of,IN,lowercase,of,NN,lowercase,resort,NN,B-gpe,english,JJ,O,southern,JJ,lowercase,southern,capitalized,English,5,lowercase,seaside,O
104,resort,of,brighton,NNP,capitalized,Brighton,IN,lowercase,of,NN,O,seasid,NN,B-gpe,english,JJ,capitalized,English,lowercase,seaside,5,lowercase,resort,O
105,of,brighton,.,.,punct,.,NNP,capitalized,Brighton,IN,O,resort,NN,O,seasid,NN,lowercase,seaside,lowercase,resort,5,lowercase,of,O
106,brighton,.,__end1__,__END1__,wildcard,__END1__,.,punct,.,NNP,O,of,IN,O,resort,NN,lowercase,resort,lowercase,of,5,capitalized,Brighton,B-geo
107,.,__end1__,__end2__,__END2__,wildcard,__END2__,__END1__,wildcard,__END1__,.,B-geo,brighton,NNP,O,of,IN,lowercase,of,capitalized,Brighton,5,punct,.,O
108,the,parti,is,VBZ,lowercase,is,NN,lowercase,party,DT,__START1__,__start1__,__START1__,__START2__,__start2__,__START2__,wildcard,__START2__,wildcard,__START1__,6,capitalized,The,O
109,parti,is,divid,VBN,lowercase,divided,VBZ,lowercase,is,NN,O,the,DT,__START1__,__start1__,__START1__,wildcard,__START1__,capitalized,The,6,lowercase,party,O
110,is,divid,over,IN,lowercase,over,VBN,lowercase,divided,VBZ,O,parti,NN,O,the,DT,capitalized,The,lowercase,party,6,lowercase,is,O
111,divid,over,britain,NNP,capitalized,Britain,IN,lowercase,over,VBN,O,is,VBZ,O,parti,NN,lowercase,party,lowercase,is,6,lowercase,divided,O
112,over,britain,'s,POS,other,'s,NNP,capitalized,Britain,IN,O,divid,VBN,O,is,VBZ,lowercase,is,lowercase,divided,6,lowercase,over,O
113,britain,'s,particip,NN,lowercase,participation,POS,other,'s,NNP,O,over,IN,O,divid,VBN,lowercase,divided,lowercase,over,6,capitalized,Britain,B-gpe
114,'s,particip,in,IN,lowercase,in,NN,lowercase,participation,POS,B-gpe,britain,NNP,O,over,IN,lowercase,over,capitalized,Britain,6,other,'s,O
115,particip,in,the,DT,lowercase,the,IN,lowercase,in,NN,O,'s,POS,B-gpe,britain,NNP,capitalized,Britain,other,'s,6,lowercase,participation,O
116,in,the,iraq,NNP,capitalized,Iraq,DT,lowercase,the,IN,O,particip,NN,O,'s,POS,other,'s,lowercase,participation,6,lowercase,in,O
117,the,iraq,conflict,NN,lowercase,conflict,NNP,capitalized,Iraq,DT,O,in,IN,O,particip,NN,lowercase,participation,lowercase,in,6,lowercase,the,O
118,iraq,conflict,and,CC,lowercase,and,NN,lowercase,conflict,NNP,O,the,DT,O,in,IN,lowercase,in,lowercase,the,6,capitalized,Iraq,B-geo
119,conflict,and,the,DT,lowercase,the,CC,lowercase,and,NN,B-geo,iraq,NNP,O,the,DT,lowercase,the,capitalized,Iraq,6,lowercase,conflict,O
120,and,the,continu,JJ,lowercase,continued,DT,lowercase,the,CC,O,conflict,NN,B-geo,iraq,NNP,capitalized,Iraq,lowercase,conflict,6,lowercase,and,O
121,the,continu,deploy,NN,lowercase,deployment,JJ,lowercase,continued,DT,O,and,CC,O,conflict,NN,lowercase,conflict,lowercase,and,6,lowercase,the,O
122,continu,deploy,of,IN,lowercase,of,NN,lowercase,deployment,JJ,O,the,DT,O,and,CC,lowercase,and,lowercase,the,6,lowercase,continued,O
123,deploy,of,"8,500",CD,number,"8,500",IN,lowercase,of,NN,O,continu,JJ,O,the,DT,lowercase,the,lowercase,continued,6,lowercase,deployment,O
124,of,"8,500",british,JJ,capitalized,British,CD,number,"8,500",IN,O,deploy,NN,O,continu,JJ,lowercase,continued,lowercase,deployment,6,lowercase,of,O
125,"8,500",british,troop,NNS,lowercase,troops,JJ,capitalized,British,CD,O,of,IN,O,deploy,NN,lowercase,deployment,lowercase,of,6,number,"8,500",O
126,british,troop,in,IN,lowercase,in,NNS,lowercase,troops,JJ,O,"8,500",CD,O,of,IN,lowercase,of,number,"8,500",6,capitalized,British,B-gpe
127,troop,in,that,DT,lowercase,that,IN,lowercase,in,NNS,B-gpe,british,JJ,O,"8,500",CD,number,"8,500",capitalized,British,6,lowercase,troops,O
128,in,that,countri,NN,lowercase,country,DT,lowercase,that,IN,O,troop,NNS,B-gpe,british,JJ,capitalized,British,lowercase,troops,6,lowercase,in,O
129,that,countri,.,.,punct,.,NN,lowercase,country,DT,O,in,IN,O,troop,NNS,lowercase,troops,lowercase,in,6,lowercase,that,O
130,countri,.,__end1__,__END1__,wildcard,__END1__,.,punct,.,NN,O,that,DT,O,in,IN,lowercase,in,lowercase,that,6,lowercase,country,O
131,.,__end1__,__end2__,__END2__,wildcard,__END2__,__END1__,wildcard,__END1__,.,O,countri,NN,O,that,DT,lowercase,that,lowercase,country,6,punct,.,O
132,the,london,march,NN,lowercase,march,NNP,capitalized,London,DT,__START1__,__start1__,__START1__,__START2__,__start2__,__START2__,wildcard,__START2__,wildcard,__START1__,7,capitalized,The,O
133,london,march,came,VBD,lowercase,came,NN,lowercase,march,NNP,O,the,DT,__START1__,__start1__,__START1__,wildcard,__START1__,capitalized,The,7,capitalized,London,B-geo
134,march,came,ahead,RB,lowercase,ahead,VBD,lowercase,came,NN,B-geo,london,NNP,O,the,DT,capitalized,The,capitalized,London,7,lowercase,march,O
135,came,ahead,of,IN,lowercase,of,RB,lowercase,ahead,VBD,O,march,NN,B-geo,london,NNP,capitalized,London,lowercase,march,7,lowercase,came,O
136,ahead,of,anti-war,JJ,contains-hyphen,anti-war,IN,lowercase,of,RB,O,came,VBD,O,march,NN,lowercase,march,lowercase,came,7,lowercase,ahead,O
137,of,anti-war,protest,NNS,lowercase,protests,JJ,contains-hyphen,anti-war,IN,O,ahead,RB,O,came,VBD,lowercase,came,lowercase,ahead,7,lowercase,of,O
138,anti-war,protest,today,NN,lowercase,today,NNS,lowercase,protests,JJ,O,of,IN,O,ahead,RB,lowercase,ahead,lowercase,of,7,contains-hyphen,anti-war,O
139,protest,today,in,IN,lowercase,in,NN,lowercase,today,NNS,O,anti-war,JJ,O,of,IN,lowercase,of,contains-hyphen,anti-war,7,lowercase,protests,O
140,today,in,other,JJ,lowercase,other,IN,lowercase,in,NN,O,protest,NNS,O,anti-war,JJ,contains-hyphen,anti-war,lowercase,protests,7,lowercase,today,O
141,in,other,citi,NNS,lowercase,cities,JJ,lowercase,other,IN,O,today,NN,O,protest,NNS,lowercase,protests,lowercase,today,7,lowercase,in,O
142,other,citi,",",",",punct,",",NNS,lowercase,cities,JJ,O,in,IN,O,today,NN,lowercase,today,lowercase,in,7,lowercase,other,O
143,citi,",",includ,VBG,lowercase,including,",",punct,",",NNS,O,other,JJ,O,in,IN,lowercase,in,lowercase,other,7,lowercase,cities,O
144,",",includ,rome,NNP,capitalized,Rome,VBG,lowercase,including,",",O,citi,NNS,O,other,JJ,lowercase,other,lowercase,cities,7,punct,",",O
145,includ,rome,",",",",punct,",",NNP,capitalized,Rome,VBG,O,",",",",O,citi,NNS,lowercase,cities,punct,",",7,lowercase,including,O
146,rome,",",pari,NNP,capitalized,Paris,",",punct,",",NNP,O,includ,VBG,O,",",",",punct,",",lowercase,including,7,capitalized,Rome,B-geo
147,",",pari,",",",",punct,",",NNP,capitalized,Paris,",",B-geo,rome,NNP,O,includ,VBG,lowercase,including,capitalized,Rome,7,punct,",",O
148,pari,",",and,CC,lowercase,and,",",punct,",",NNP,O,",",",",B-geo,rome,NNP,capitalized,Rome,punct,",",7,capitalized,Paris,B-geo
149,",",and,madrid,NNP,capitalized,Madrid,CC,lowercase,and,",",B-geo,pari,NNP,O,",",",",punct,",",capitalized,Paris,7,punct,",",O
150,and,madrid,.,.,punct,.,NNP,capitalized,Madrid,CC,O,",",",",B-geo,pari,NNP,capitalized,Paris,punct,",",7,lowercase,and,O
151,madrid,.,__end1__,__END1__,wildcard,__END1__,.,punct,.,NNP,O,and,CC,O,",",",",punct,",",lowercase,and,7,capitalized,Madrid,B-geo
152,.,__end1__,__end2__,__END2__,wildcard,__END2__,__END1__,wildcard,__END1__,.,B-geo,madrid,NNP,O,and,CC,lowercase,and,capitalized,Madrid,7,punct,.,O
153,the,intern,atom,NNP,capitalized,Atomic,NNP,capitalized,International,DT,__START1__,__start1__,__START1__,__START2__,__start2__,__START2__,wildcard,__START2__,wildcard,__START1__,8,capitalized,The,O
154,intern,atom,energi,NNP,capitalized,Energy,NNP,capitalized,Atomic,NNP,O,the,DT,__START1__,__start1__,__START1__,wildcard,__START1__,capitalized,The,8,capitalized,International,B-org
155,atom,energi,agenc,NNP,capitalized,Agency,NNP,capitalized,Energy,NNP,B-org,intern,NNP,O,the,DT,capitalized,The,capitalized,International,8,capitalized,Atomic,I-org
156,energi,agenc,is,VBZ,lowercase,is,NNP,capitalized,Agency,NNP,I-org,atom,NNP,B-org,intern,NNP,capitalized,International,capitalized,Atomic,8,capitalized,Energy,I-org
157,agenc,is,to,TO,lowercase,to,VBZ,lowercase,is,NNP,I-org,energi,NNP,I-org,atom,NNP,capitalized,Atomic,capitalized,Energy,8,capitalized,Agency,I-org
158,is,to,hold,VB,lowercase,hold,TO,lowercase,to,VBZ,I-org,agenc,NNP,I-org,energi,NNP,capitalized,Energy,capitalized,Agency,8,lowercase,is,O
159,to,hold,second,JJ,lowercase,second,VB,lowercase,hold,TO,O,is,VBZ,I-org,agenc,NNP,capitalized,Agency,lowercase,is,8,lowercase,to,O
160,hold,second,day,NN,lowercase,day,JJ,lowercase,second,VB,O,to,TO,O,is,VBZ,lowercase,is,lowercase,to,8,lowercase,hold,O
161,second,day,of,IN,lowercase,of,NN,lowercase,day,JJ,O,hold,VB,O,to,TO,lowercase,to,lowercase,hold,8,lowercase,second,O
162,day,of,talk,NNS,lowercase,talks,IN,lowercase,of,NN,O,second,JJ,O,hold,VB,lowercase,hold,lowercase,second,8,lowercase,day,O
163,of,talk,in,IN,lowercase,in,NNS,lowercase,talks,IN,O,day,NN,O,second,JJ,lowercase,second,lowercase,day,8,lowercase,of,O
164,talk,in,vienna,NNP,capitalized,Vienna,IN,lowercase,in,NNS,O,of,IN,O,day,NN,lowercase,day,lowercase,of,8,lowercase,talks,O
165,in,vienna,wednesday,NNP,capitalized,Wednesday,NNP,capitalized,Vienna,IN,O,talk,NNS,O,of,IN,lowercase,of,lowercase,talks,8,lowercase,in,O
166,vienna,wednesday,on,IN,lowercase,on,NNP,capitalized,Wednesday,NNP,O,in,IN,O,talk,NNS,lowercase,talks,lowercase,in,8,capitalized,Vienna,B-geo
167,wednesday,on,how,WRB,lowercase,how,IN,lowercase,on,NNP,B-geo,vienna,NNP,O,in,IN,lowercase,in,capitalized,Vienna,8,capitalized,Wednesday,B-tim
168,on,how,to,TO,lowercase,to,WRB,lowercase,how,IN,B-tim,wednesday,NNP,B-geo,vienna,NNP,capitalized,Vienna,capitalized,Wednesday,8,lowercase,on,O
169,how,to,respond,VB,lowercase,respond,TO,lowercase,to,WRB,O,on,IN,B-tim,wednesday,NNP,capitalized,Wednesday,lowercase,on,8,lowercase,how,O
170,to,respond,to,TO,lowercase,to,VB,lowercase,respond,TO,O,how,WRB,O,on,IN,lowercase,on,lowercase,how,8,lowercase,to,O
171,respond,to,iran,NNP,capitalized,Iran,TO,lowercase,to,VB,O,to,TO,O,how,WRB,lowercase,how,lowercase,to,8,lowercase,respond,O
172,to,iran,'s,POS,other,'s,NNP,capitalized,Iran,TO,O,respond,VB,O,to,TO,lowercase,to,lowercase,respond,8,lowercase,to,O
173,iran,'s,resumpt,NN,lowercase,resumption,POS,other,'s,NNP,O,to,TO,O,respond,VB,lowercase,respond,lowercase,to,8,capitalized,Iran,B-gpe
174,'s,resumpt,of,IN,lowercase,of,NN,lowercase,resumption,POS,B-gpe,iran,NNP,O,to,TO,lowercase,to,capitalized,Iran,8,other,'s,O
175,resumpt,of,low-level,JJ,contains-hyphen,low-level,IN,lowercase,of,NN,O,'s,POS,B-gpe,iran,NNP,capitalized,Iran,other,'s,8,lowercase,resumption,O
176,of,low-level,uranium,NN,lowercase,uranium,JJ,contains-hyphen,low-level,IN,O,resumpt,NN,O,'s,POS,other,'s,lowercase,resumption,8,lowercase,of,O
177,low-level,uranium,convers,NN,lowercase,conversion,NN,lowercase,uranium,JJ,O,of,IN,O,resumpt,NN,lowercase,resumption,lowercase,of,8,contains-hyphen,low-level,O
178,uranium,convers,.,.,punct,.,NN,lowercase,conversion,NN,O,low-level,JJ,O,of,IN,lowercase,of,contains-hyphen,low-level,8,lowercase,uranium,O
179,convers,.,__end1__,__END1__,wildcard,__END1__,.,punct,.,NN,O,uranium,NN,O,low-level,JJ,contains-hyphen,low-level,lowercase,uranium,8,lowercase,conversion,O
180,.,__end1__,__end2__,__END2__,wildcard,__END2__,__END1__,wildcard,__END1__,.,O,convers,NN,O,uranium,NN,lowercase,uranium,lowercase,conversion,8,punct,.,O
181,iran,this,week,NN,lowercase,week,DT,lowercase,this,NNP,__START1__,__start1__,__START1__,__START2__,__start2__,__START2__,wildcard,__START2__,wildcard,__START1__,9,capitalized,Iran,B-gpe
182,this,week,restart,VBD,lowercase,restarted,NN,lowercase,week,DT,B-gpe,iran,NNP,__START1__,__start1__,__START1__,wildcard,__START1__,capitalized,Iran,9,lowercase,this,O
183,week,restart,part,NNS,lowercase,parts,VBD,lowercase,restarted,NN,O,this,DT,B-gpe,iran,NNP,capitalized,Iran,lowercase,this,9,lowercase,week,O
184,restart,part,of,IN,lowercase,of,NNS,lowercase,parts,VBD,O,week,NN,O,this,DT,lowercase,this,lowercase,week,9,lowercase,restarted,O
185,part,of,the,DT,lowercase,the,IN,lowercase,of,NNS,O,restart,VBD,O,week,NN,lowercase,week,lowercase,restarted,9,lowercase,parts,O
186,of,the,convers,NN,lowercase,conversion,DT,lowercase,the,IN,O,part,NNS,O,restart,VBD,lowercase,restarted,lowercase,parts,9,lowercase,of,O
187,the,convers,process,NN,lowercase,process,NN,lowercase,conversion,DT,O,of,IN,O,part,NNS,lowercase,parts,lowercase,of,9,lowercase,the,O
188,convers,process,at,IN,lowercase,at,NN,lowercase,process,NN,O,the,DT,O,of,IN,lowercase,of,lowercase,the,9,lowercase,conversion,O
189,process,at,it,PRP$,lowercase,its,IN,lowercase,at,NN,O,convers,NN,O,the,DT,lowercase,the,lowercase,conversion,9,lowercase,process,O
190,at,it,isfahan,NNP,capitalized,Isfahan,PRP$,lowercase,its,IN,O,process,NN,O,convers,NN,lowercase,conversion,lowercase,process,9,lowercase,at,O
191,it,isfahan,nuclear,JJ,lowercase,nuclear,NNP,capitalized,Isfahan,PRP$,O,at,IN,O,process,NN,lowercase,process,lowercase,at,9,lowercase,its,O
192,isfahan,nuclear,plant,NN,lowercase,plant,JJ,lowercase,nuclear,NNP,O,it,PRP$,O,at,IN,lowercase,at,lowercase,its,9,capitalized,Isfahan,B-geo
193,nuclear,plant,.,.,punct,.,NN,lowercase,plant,JJ,B-geo,isfahan,NNP,O,it,PRP$,lowercase,its,capitalized,Isfahan,9,lowercase,nuclear,O
194,plant,.,__end1__,__END1__,wildcard,__END1__,.,punct,.,NN,O,nuclear,JJ,B-geo,isfahan,NNP,capitalized,Isfahan,lowercase,nuclear,9,lowercase,plant,O
195,.,__end1__,__end2__,__END2__,wildcard,__END2__,__END1__,wildcard,__END1__,.,O,plant,NN,O,nuclear,JJ,lowercase,nuclear,lowercase,plant,9,punct,.,O
196,iranian,offici,say,VBP,lowercase,say,NNS,lowercase,officials,JJ,__START1__,__start1__,__START1__,__START2__,__start2__,__START2__,wildcard,__START2__,wildcard,__START1__,10,capitalized,Iranian,B-gpe
197,offici,say,they,PRP,lowercase,they,VBP,lowercase,say,NNS,B-gpe,iranian,JJ,__START1__,__start1__,__START1__,wildcard,__START1__,capitalized,Iranian,10,lowercase,officials,O
198,say,they,expect,VBP,lowercase,expect,PRP,lowercase,they,VBP,O,offici,NNS,B-gpe,iranian,JJ,capitalized,Iranian,lowercase,officials,10,lowercase,say,O
199,they,expect,to,TO,lowercase,to,VBP,lowercase,expect,PRP,O,say,VBP,O,offici,NNS,lowercase,officials,lowercase,say,10,lowercase,they,O
200,expect,to,get,VB,lowercase,get,TO,lowercase,to,VBP,O,they,PRP,O,say,VBP,lowercase,say,lowercase,they,10,lowercase,expect,O
